,OBJECTID,bldg_num,prg_num,name,address,class,category,x,y,grades,zipcode,type,GlobalID,lon,lat
93,94,451,345,Joseph C. Briscoe Academy,900 Druid Hill Avenue,6 - 12, ,0,0,6 - 12,21201,Separate Public Day,78dd3ea0-3841-44c5-b9b3-0e12d9d299bf,-76.624398,39.298523
94,95,21,21,Hilton Elementary,3301 Carlisle Avenue,PK - 5, ,0,0,PK - 5,21216,Traditional,e25b4e9a-6301-47d7-b547-0f1a866985d0,-76.673138,39.319365
95,96,16,16,Johnston Square Elementary,1101 Valley Street,PK - 5, ,0,0,PK - 5,21202,Traditional,f16dc68a-8e4e-417c-93c2-4dc4b3953727,-76.604893,39.30296
96,97,228,228,John Ruhrah Elementary/Middle,6820 Fait Avenue,PK - 8, ,0,0,PK - 8,21224,Traditional,fc73aff5-3976-442a-972a-ee8d71b55800,-76.53072281635531,39.28582355
97,98,86,86,Lakewood Elementary,2625 Federal Street,PK - K, ,0,0,PK - K,21213,Traditional,0574976b-441e-401e-a15b-b8146bb9953b,-76.580578,39.308648
98,99,40,341,The Reach! Partnership School,2801 Saint Lo Drive,9 - 12, ,0,0,9 - 12,21213,Transformation,f0f58fe4-9adb-4bf2-9cba-85bc8ff818f7,-76.58533422698528,39.31759755
99,100,64,64,Liberty Elementary,3901 Maine Avenue,PK - 5, ,0,0,PK - 5,21207,Traditional,cacc0da6-7e40-4cd4-9359-a614474af3d6,-76.6829186,39.3260591
100,101,12,12,Lakeland Elementary/Middle,2921 Stranden Rd,PK - 8, ,0,0,PK - 8,21230,Traditional,dae3c30d-5ae2-47aa-ba33-36a0b0fab931,-76.64513359767479,39.254294923767645
101,102,313,313,Lois T. Murray Elementary/Middle,1600 Arlington Avenue,PK - 8, ,0,0,PK - 8,21239,Separate Public Day -Contract,5245fea0-5ba9-458c-94f1-bc1035f3509e,-76.587524,39.346985
102,103,245,245,Leith Walk Elementary/Middle,5915 Glennor Road,PK - 8, ,0,0,PK - 8,21239,Traditional,19ada6b1-4424-4d0f-bb54-fa3eccdc9eb8,-76.59256165502799,39.364926154773514
103,104,261,261,Lockerman Bundy Elementary,301 N Pulaski Street,PK - 5, ,0,0,PK - 5,21223,Traditional,21bd010c-ad47-48b0-b0ae-14e2922605fc,-76.65021,39.292056
104,105,88,88,Wildwood Elementary/Middle School,621 Wildwood Parkway,PK - 8, ,0,0,PK - 8,21229,Traditional,c3f78b35-2680-46c1-b709-f74e35849abd,-76.68379525990254,39.294235411040916
105,106,57,323,The Crossroads School,802 S Caroline Street,6 - 8, ,0,0,6 - 8,21231,Charter,0553eb80-cb3b-482b-80a2-fd359a1306aa,-76.59666187755103,39.282262836734695
106,107,150,150,Mary Ann Winterling Elementary at Bentalou,220 N Bentalou Street,PK - 5, ,0,0,PK - 5,21223,Traditional,ed751c09-32c4-4b21-a150-43b90d5ade12,-76.6537600858437,39.29168835
107,108,53,53,Margaret Brent Elementary/Middle,100 E 26th Street,PK - 8, ,0,0,PK - 8,21218,Traditional,7d8219c8-d008-4048-bb29-5c0b944046fc,-76.6162924,39.3193869
108,109,204,204,Mary E. Rodman Elementary,201 North Bend Road,PK - 5, ,0,0,PK - 5,21229,Traditional,7f985c2d-c47c-487f-ba70-fb9827c74073,-76.7076611,39.2841272
109,110,335,335,Baltimore International Academy,4410 Frankford Avenue,K - 8, ,0,0,K - 8,21206,Charter,750460c7-9aeb-4ae1-8f52-3e135cde46fa,-76.54943440880821,39.33611038018423
110,111,203,203,Maree G. Farring Elementary/Middle,300 Pontiac Avenue,PK - 8, ,0,0,PK - 8,21225,Traditional,dd50f93c-be3d-4555-9340-563074fbd327,-76.6075725,39.236724
111,112,410,410,Mergenthaler Vocational-Technical High,3500 Hillen Road,9 - 12, ,0,0,9 - 12,21218,Traditional,2911aa51-f83b-4602-bc68-28c4999d5b8a,-76.58872,39.335656
112,113,29,29,Matthew A. Henson Elementary,1600 N Payson Street,PK - 5, ,0,0,PK - 5,21217,Traditional,99bd333f-ecd9-4568-add1-50a8f3861385,-76.649849,39.306677
113,114,249,249,Medfield Heights Elementary,4300 Buchanan Avenue,PK - 5, ,0,0,PK - 5,21211,Traditional,5eb4249e-c656-4148-8fab-dd398c23d190,-76.64270257903601,39.3409674
114,115,381,381,Monarch Academy Public Charter,2525 Kirk Avenue,K - 8, ,0,0,K - 8,21218,Charter,cc5f9713-7321-4359-83f1-a9c395865220,-76.60017695918367,39.31996920408163
115,116,44,44,Montebello Elementary/Middle,2040 E 32nd Street,PK - 8, ,0,0,PK - 8,21218,Traditional,9a9911b0-e737-4878-bb88-bf76a9563f18,-76.5850412125179,39.3280556
116,117,66,66,Mount Royal Elementary/Middle,121 McMechen Street,K - 8, ,0,0,K - 8,21217,Traditional,7295d78f-cde1-433b-a65b-92523ba2fb81,-76.6249056122449,39.30917067346939
117,118,220,220,Morrell Park Elementary/Middle,2601 Tolley Street,PK - 8, ,0,0,PK - 8,21230,Traditional,8b97e1af-30e2-4e58-94e7-b75ad50c8320,-76.65085621329689,39.2629187
118,119,221,221,The Mount Washington School,1801 Sulgrave Avenue,K - 8, ,0,0,K-8,21209,Traditional,01246912-69cb-46a4-9da4-8ecf89c04ffc,-76.654681,39.366135
119,120,105,105,Moravia Park Elementary,6201 Frankford Avenue,PK - 5, ,0,0,PK - 5,21206,Traditional,6772c6f5-a78d-4d3f-ba0a-71870a087b05,-76.54003093386191,39.31889570728869
120,121,322,322,New Song Academy,1530 Presstman Street,PK - 8, ,0,0,PK - 8,21217,New Schools Initiative,9b863c9f-5979-4adf-991b-fea12dd44dd4,-76.64221179591837,39.305527326530616
121,122,321,321,Midtown Academy,1398 W Mount Royal Avenue,K - 8, ,0,0,K - 8,21217,Charter,bc0a48d0-ff7c-451d-bb23-09792414042c,-76.62160750405486,39.30850016209584
122,123,402,419,Reginald F. Lewis High,6401 Pioneer Dr,9 - 12, ,0,0,9 - 12,21214,Traditional,27cf0217-f90c-431d-aa84-68291128ef2b,-76.57218,39.364826
123,124,330,330,Northwood Appold Community Academy,4417 Loch Raven Boulevard,K - 5, ,0,0,K - 5,21218,Charter,19b25d47-4ab1-45d2-9708-edb5ade1d3b5,-76.59176737577204,39.34569475
124,125,81,81,North Bend Elementary/Middle,181 North Bend Road,PK - 8, ,0,0,PK - 8,21229,Traditional,5e2b8e11-585a-43c5-b24a-f20ddc88edc9,-76.70552608849661,39.282343306467894
125,126,402,413,Achievement Academy at Harbor City High,2201 Pinewood Dr,9 - 12, ,0,0,9 - 12,21214,Alternative,10b55a99-b577-4651-8215-efde75caf8fe,-76.649533,39.319732
126,127,405,405,Patterson High,100 Kane Street,9 - 12, ,0,0,9 - 12,21224,Traditional,d062b2a7-4797-4a2e-8f8d-d4abbc8cf3b4,-76.53896685476778,39.29249835
127,128,327,327,Patterson Park Public Charter,27 N Lakewood Avenue,PK - 8*, ,0,0,PK - 8*,21224,Charter,12a9ca50-6fbe-40eb-85cf-fa7478a9fc80,-76.57898197959184,39.292486387755105
128,129,133,421,National Academy Foundation,540 N. Caroline Street,6 - 12, ,0,0,6 - 12,21205,Traditional,6480c879-6b24-42af-b960-e69e9542f65d,-76.59759731022457,39.29659230352894
129,130,414,414,Paul Laurence Dunbar High,1400 Orleans Street,9 - 12, ,0,0,9 - 12,21231,Traditional,b68ab149-3f05-4c5a-978c-1f6422660f6d,-76.5987128,39.2952989
130,131,242,242,Northwood Elementary,5201 Loch Raven Boulevard,PK - 5, ,0,0,PK - 5,21239,Traditional,7e4f89fc-7a6f-4ddc-b72b-054315262529,-76.589879,39.35332
131,132,56,427,Academy for College and Career Exploration,1300 W 36th St,6 - 12, ,0,0,6 - 12,21211,Traditional,215f178b-37b9-412e-8e2a-690992ffc792,-76.637712,39.330436
132,133,223,223,Pimlico Elementary/Middle,4849 Pimlico Road,PK - 8, ,0,0,PK - 8,21215,Traditional,3144713b-45ce-4e99-ba81-f2becc2dcba6,-76.66757892465986,39.3477994
133,134,93,349,NACA Freedom and Democracy Academy II,2500 E Northern Parkway,6 - 12, ,0,0,6 - 12,21214,Transformation,d206a04e-e719-478c-8314-55867f481b58,-76.56057766049605,39.3667578
134,135,233,233,Roland Park Elementary/Middle,5207 Roland Avenue,PK - 8, ,0,0,PK - 8,21210,Traditional,55a45b03-0af0-4a71-ad47-1a591dae192e,-76.63381685927718,39.35740925
135,136,63,63,Rosemont Elementary/Middle,2777 Presstman Street,PK - 8, ,0,0,PK - 8,21216,Charter,2f868405-584d-4aa3-8a58-708994c43e3f,-76.66267610219877,39.304325750000004
136,137,122,122,The Historic Samuel Coleridge-Taylor Elementary,507 W Preston Street,PK - 5, ,0,0,PK - 5,21201,Traditional,55ba870d-723b-4deb-be3b-b5f8894846cd,-76.62571015422674,39.29943754873191
137,138,142,142,Robert W. Coleman Elementary,2400 Windsor Avenue,PK - 5, ,0,0,PK - 5,21216,Traditional,627b8458-00dc-4390-9e89-51c99ee3241b,-76.65544012720528,39.312409631658575
138,139,248,248,Sinclair Lane Elementary,3880 Sinclair Lane,PK - 5, ,0,0,PK - 5,21213,Traditional,fd6eda9f-0448-4552-a949-6efb13d0f5ae,-76.56062074555497,39.315115000000006
139,140,73,73,Sarah M. Roach Elementary,3434 Old Frederick Road,PK - 5, ,0,0,PK - 5,21229,Traditional,984b3ea8-a7a4-4b80-86be-cf0f9344f7ef,-76.67458223972933,39.282694449999994
140,141,314,314,Sharp-Leadenhall Elementary,150 W West Street,K - 5, ,0,0,K - 5,21230,Separate Public Day,fe10b0e2-f507-4fa4-91d0-ddc35d23c36c,-76.61885200528134,39.27654285
